Unnamed: 0,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,estas_buscando_trabajo,pluriempleo,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,opcionalen_que_empresaorganizacion_estas_trabajando,company_recommended,tools_copilotchatgpt,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,profile_age,profile_gender,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
5093,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3600000.0,2970000.0,,,No,No recibo bono,Tres,25.0,Noviembre,3,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,Architect,15,3,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,No,Sofre digital,4,3,,Terminar encuesta,,,,,,,,,47,Hombre Cis,Sí,False,Senior,3600000.0
5094,Córdoba,Full-Time,Staff (planta permanente),1700000.0,1300000.0,,,No,No recibo bono,Tres,30.0,Diciembre,3,"Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",2,"Sí, estoy buscando activamente.",,BI Analyst / Data Analyst,4,6,4,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),2,,kolektor,7,3,,Terminar encuesta,,,,,,,,,28,Hombre Cis,No,False,Semi-Senior,1700000.0
5095,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2165000.0,1800000.0,,,No,No recibo bono,Más de tres,120.0,Octubre,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), prepaga",3,"No, pero escucho ofertas.",,Developer,25,5,5,0,Ninguna de las anteriores,".NET, VBA",Ninguno de los anteriores,Microsoft SQL Server,Postman,De 2 a 10 personas,Híbrido (presencial y remoto),1,"si, atada a la inflación",,0,0,,Terminar encuesta,,,,,,,,,45,Hombre Cis,Sí,False,Senior,2165000.0
5096,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2540000.0,2100000.0,,,No,No recibo bono,Dos,24.0,Diciembre,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,2,3,1,0,Amazon Web Services,"HTML, PHP, Python, SQL",Ninguno de los anteriores,"Amazon RDS/Aurora, MySQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),4,,CloudHesive Argentina,7,5,,Terminar encuesta,,,,,,,,,24,Mujer Cis,Sí,False,Junior,2540000.0
5097,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2500000.0,,,No,No recibo bono,Tres,25.0,Noviembre,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",4,"No, pero escucho ofertas.",,UX Designer,5,3,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,Farmacity,8,4,,Terminar encuesta,,,,,,,,,32,Mujer Cis,Sí,False,Semi-Senior,3000000.0
5098,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4450000.0,3340000.0,,,3+ sueldos,Performance individual,Más de tres,114.0,Diciembre,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Developer,5,1,1,0,"Kubernetes, Linux",Python,Ninguno de los anteriores,Oracle,Postman,Más de 10000 personas,Híbrido (presencial y remoto),3,ajuste salarial mensual por paritaria,JP Morgan,10,1,Eventualmente el trabajo va a ser 100% presencial,Responder sobre guardias,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,34,Hombre Cis,Sí,False,Semi-Senior,4450000.0
5099,Buenos Aires,Full-Time,Staff (planta permanente),3480144.0,3121000.0,,,3+ sueldos,Performance individual,Más de tres,118.0,Diciembre,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",,Technical Leader,18,2,2,12,"Amazon Web Services, Docker, Kubernetes, Windows Server",".NET, C#, SQL, VBA",".NET Core, Hibernate","Amazon RDS/Aurora, Microsoft SQL Server","Postman, TFS",De 2001a 5000 personas,100% remoto,0,Ajustes por inflación mensuales,Supervielle,8,2,,Terminar encuesta,,,,,,,,,39,Hombre Cis,Sí,False,Senior,3480144.0
5100,Buenos Aires,Full-Time,Staff (planta permanente),3100000.0,2500000.0,,,3+ sueldos,Mix de las anteriores,Más de tres,145.0,Diciembre,2,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Viáticos",2,"No, pero escucho ofertas.",Tengo dos trabajos full time,Manager / Director,25,24,20,4,"AIX, Amazon Web Services, Azure, Docker, Linux, VMWare, Windows Server",".NET, Bash/Shell, C, C++, Perl, Python, SQL",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL",Postman,De 11  a 50  personas,Híbrido (presencial y remoto),1,"Sí, ajustes por inflación",,0,3,,Responder sobre mis estudios,Posgrado/Especialización,Completo,Analista de Sistemas,UBA - Universidad de Buenos Aires,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,49,Hombre Cis,Sí,False,Senior,3100000.0
5101,Córdoba,Part-Time,Staff (planta permanente),200000.0,158000.0,,,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",,Developer,3,3,3,0,"Docker, Firebase, Google Cloud Platform, Linux, Serverless","CSS, HTML, Javascript, Kotlin, SQL, TypeScript","Next.js, Node.js, React.js, WordPress, Nestjs","MongoDB, MySQL, PostgreSQL, Redis","Jest, Postman",De 11  a 50  personas,100% remoto,0,,,0,3,,Terminar encuesta,,,,,,,,,35,Mujer Cis,No,False,Semi-Senior,200000.0
5102,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2853929.0,2298931.0,,,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Guardería o pago para cubrir costo de guardería",3,"No, pero escucho ofertas.",,Manager / Director,3,3,1,10,Ninguna de las anteriores,"CSS, HTML, Java, Javascript, Kotlin, PHP, SQL","Angular, Bootstrap, Drupal, jQuery, Node.js, React.js","ElasticSearch, Oracle, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),3,,GCBA,8,5,,Responder sobre mis estudios,Universitario,Incompleto,Licenciatura en Informática,UNQ - Universidad Nacional de Quilmes,Terminar encuesta,,,,34,Mujer Cis,Sí,False,Semi-Senior,2853929.0
