work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,¿En qué mes fue el último ajuste?,salary_comparison_last_semester,¿Contás con beneficios adicionales?,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,profile_studies_level,profile_studies_level_state,profile_career,Institución educativa,¿Salir o seguir contestando sobre las guardias?,work_on_call_duty,salary_on_call_duty_charge,Aclará el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,profile_age,profile_gender
Argentina,Chaco,Full-Time,Staff (planta permanente),200000.0,240000.0,,,No,No recibo bono,Uno,18.0,Marzo,1,Ninguna de las anteriores,1,QA / Tester,5.0,1.0,1.0,0,"Azure, *BSD, SAP, Windows Server",SQL,Oond,"Microsoft SQL Server, MySQL","Katalon, Selenium",De 101 a 200 personas,Híbrido (presencial y remoto),2,1,3,Terminar encuesta,,,,,,,,,,38,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),346500.0,291595.0,,,No,No recibo bono,Uno,18.0,Marzo,1,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",2,SysAdmin,13.0,0.0,0.0,0,"Amazon Web Services, Linux, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,8,1,Responder sobre guardias,,,,,,"Sí, pasiva",15000.0,Bruto,Terminar encuesta,36,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),600000.0,405000.0,Mi sueldo está dolarizado (pero cobro en moneda local),250,No,No recibo bono,Uno,12.0,Abril,2,"Abono de celular, Abono de Internet, Vacaciones flexibles (adicionales a las reglamentarias)",2,Field service,16.0,16.0,8.0,0,"Azure, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,100% presencial,0,10,0,Terminar encuesta,,,,,,,,,,42,Varón Cis
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),403000.0,360000.0,,,No,No recibo bono,Uno,30.0,Marzo,2,"Capacitaciones y/o cursos, Clases de idiomas",2,Developer,6.0,2.0,2.0,0,OpenShift,"HTML, Java, Javascript","React.js, Spring",MongoDB,Jest,De 101 a 200 personas,100% remoto,0,8,4,Terminar encuesta,,,,,,,,,,33,Mujer Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),482000.0,,,,De uno a tres sueldos,"performance individual, grupal y de la compañia",No,0.0,No tuve,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",4,Developer,1.0,1.0,1.0,0,Google Cloud Platform,"Groovy, Java, Javascript, SQL","Spark, Spring",Google Cloud Storage,"JUnit, Postman",De 11  a 50  personas,100% remoto,0,10,1,Responder sobre guardias,Universitario,Incompleto,ingeniería electromecánica,UTN - Universidad Tecnológica Nacional,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,26,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),359944.23,298768.02,,,No,No recibo bono,Tres,19.5,Mayo,3,Ninguna de las anteriores,3,Developer,0.0,0.0,0.0,0,"Docker, Kubernetes, Mule",Java,Spring,"Informix, Microsoft SQL Server, MongoDB","JUnit, SoapUI",De 501 a 1000 personas,100% remoto,0,0,3,Responder sobre mis estudios,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,27,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),275000.0,255000.0,Mi sueldo está dolarizado (pero cobro en moneda local),230.65,No,No recibo bono,No,0.0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",2,Developer,1.0,1.0,1.0,0,Salesforce,"SQL, APEX",Salesforce,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,5,2,Responder sobre mis estudios,Universitario,Incompleto,,,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,30,Mujer Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),700000.0,352500.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,QA / Tester,4.0,2.0,2.0,0,Linux,"Bash/Shell, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Postman,De 2 a 10 personas,100% remoto,0,8,1,Terminar encuesta,,,,,,,,,,31,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),1040000.0,935000.0,Mi sueldo está dolarizado (pero cobro en moneda local),477,Menos de un sueldo,No recibo bono,Más de tres,17.0,Mayo,4,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,Data Engineer,2.0,0.0,0.0,0,Azure,"Python, SQL",Django,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,8,5,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,26,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),175000.0,146000.0,,,No,No recibo bono,Uno,28.0,Junio,1,"Estacionamiento gratuito / subvencionado, Horarios flexibles",2,Developer,1.0,1.0,1.0,0,"Docker, Jira","Bash/Shell, CSS, Dart, HTML, Javascript","Bootstrap, Flutter, Vue.js",Ninguna de las anteriores,Jest,De 11  a 50  personas,Híbrido (presencial y remoto),2,0,4,Terminar encuesta,,,,,,,,,,25,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),330000.0,280000.0,,,No,No recibo bono,Dos,30.0,Junio,2,Ninguna de las anteriores,2,Developer,2.0,1.0,1.0,0,"Kubernetes, OpenShift","CSS, HTML, Java, Javascript, TypeScript","React.js, MUI",Ninguna de las anteriores,Jest,De 101 a 200 personas,Híbrido (presencial y remoto),2,8,2,Terminar encuesta,,,,,,,,,,29,Varón Cis
Argentina,Chaco,Part-Time,Contractor,53000.0,48000.0,,,No,No recibo bono,Uno,51.0,Febrero,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,Developer,4.0,2.0,2.0,0,Docker,"CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, CodeIgniter, jQuery, Node.js, React.js, NestJs","MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),4,8,4,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,,Responder sobre guardias,No,0.0,Bruto,Terminar encuesta,23,Varón Cis
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),360000.0,316000.0,,,No,No recibo bono,Uno,40.0,Mayo,2,Horarios flexibles,2,Developer,5.0,0.0,0.0,0,"Amazon Web Services, Docker, Linux",Javascript,"React.js, ARC XP",MongoDB,"Jest, Selenium",De 11  a 50  personas,100% remoto,0,1,1,Terminar encuesta,,,,,,,,,,37,Mujer Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),400000.0,340000.0,,,No,No recibo bono,Dos,22.0,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,Developer,2.0,0.0,0.0,2,Ninguna de las anteriores,"Javascript, Kotlin, Swift, TypeScript",React Native,MongoDB,Jest,De 501 a 1000 personas,100% remoto,0,8,4,Terminar encuesta,,,,,,,,,,30,Varón Cis
Argentina,Chaco,Full-Time,Contractor,345000.0,33000.0,Cobro todo el salario en dólares,490,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Clases de idiomas, Descuento en cine",3,Developer,1.0,2.0,1.0,0,"Docker, Linux",PHP,Laravel,MySQL,PHPUnit,De 11  a 50  personas,100% remoto,0,9,4,Responder sobre mis estudios,Secundario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,25,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),403637.0,331992.0,Cobro parte del salario en dólares,230.65,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",2,QA / Tester,3.0,3.0,3.0,1,"Google Cloud Platform, Linux","Groovy, Java, Javascript",React.js,Ninguna de las anteriores,"Cucumber, JUnit, Postman, WebdriverIO",Más de 10000 personas,100% remoto,0,7,4,Responder sobre guardias,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,"Sí, pasiva",0.0,Neto,Terminar encuesta,26,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),500000.0,450.0,,,No,No recibo bono,Dos,17.0,Abril,3,Stock options / RSUs,2,SysAdmin,20.0,18.0,2.0,3,"Linux, SAP, Windows Server","Bash/Shell, Python, SQL",SAP,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),3,7,3,Responder sobre guardias,,,,,,"Sí, activa",0.0,Neto,Terminar encuesta,44,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),533000.0,450000.0,,,Menos de un sueldo,Performance de la compañía,Tres,20.0,Marzo,2,"Capacitaciones y/o cursos, Clases de idiomas",2,Developer,3.0,0.0,3.0,1,Docker,"Java, Javascript, TypeScript","Next.js, Node.js, React.js, Vue.js",MySQL,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,7,4,Terminar encuesta,,,,,,,,,,28,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),310000.0,292000.0,,,No,No recibo bono,Uno,30.0,Marzo,3,"Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,Developer,16.0,1.0,1.0,0,Docker,GENEXUS,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Postman,De 11  a 50  personas,100% remoto,0,8,1,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,38,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),800000.0,650000.0,,,Un sueldo,Mix de las anteriores,Más de tres,90.0,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",3,DevOps Engineer,5.0,0.0,0.0,0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, Windows Server",Bash/Shell,.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,10,3,Terminar encuesta,,,,,,,,,,33,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),490476.0,408096.0,,,De uno a tres sueldos,Mix de las anteriores,Tres,42.0,Julio,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,Data Engineer,0.0,0.0,0.0,0,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, Python, SQL",Spark,"Amazon DynamoDB, Amazon Redshift, Microsoft SQL Server, PostgreSQL","Postman, Pytest",Más de 10000 personas,100% remoto,0,10,0,Terminar encuesta,,,,,,,,,,44,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),288000.0,239040.0,,,No,No recibo bono,Uno,20.0,Abril,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",3,BI Analyst / Data Analyst,0.0,0.0,0.0,0,"Amazon Web Services, Google Cloud Platform","Python, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,10,5,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Administración,UNNNE - Universidad Nacional del Nordeste,Terminar encuesta,,,,,28,Prefiero no decir
Argentina,Chaco,Full-Time,Staff (planta permanente),297124.0,254086.0,Mi sueldo está dolarizado (pero cobro en moneda local),270,No,No recibo bono,Dos,35.0,Abril,3,"Abono de Internet, Clases de idiomas",3,Developer,8.0,2.0,2.0,0,Ninguna de las anteriores,".NET, C#, SQL, VBA",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,9,1,Terminar encuesta,,,,,,,,,,41,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),432000.0,346000.0,,,No,No recibo bono,Tres,30.0,Junio,2,Capacitaciones y/o cursos,2,Developer,14.0,12.0,12.0,4,"Linux, Windows Server",".NET, C#, CSS, HTML, SQL",".NET Core, Bootstrap","Microsoft SQL Server, PostgreSQL","Selenium, Xunit",De 201 a 500 personas,100% presencial,0,0,3,Terminar encuesta,,,,,,,,,,36,Varón Cis
