work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_last_dollar_value,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,work_looking_for_job,profile_various_jobs,company_main_activity,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,company_days_in_the_office,salary_inflation_policy,company_reduction_of_employees,company_recommended,tools_copilotchatgpt,vibe_coding,tools_ide_ia,algo_que_quieras_decir_sobre_tu_trabajo,salir_o_seguir_contestando,profile_studies_level,profile_studies_level_state,profile_career,profile_university,salir_o_seguir_contestando_sobre_las_guardias,company_max_interview,company_best_interview,profile_prefered_challenges,profile_hours_per_day,company_selection_process,salir_o_seguir_contestando_sobre_las_guardias1,work_on_call_duty,salary_on_call_duty_charge,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,profile_age,profile_gender,profile_previous_survey,company_best_companies,sueldo_dolarizado,work_seniority,_sal
Santa Fe,Full-Time,Staff (planta permanente),1408000.0,1240000.0,,,Menos de un sueldo,Decisión de jefe de área,Uno,18.0,Septiembre,2,"Capacitaciones y/o cursos, Clases de idiomas, Viáticos",1,"No, pero escucho ofertas.",,HelpDesk,6,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),4,no,No,7,4,Llegó para quedarse,,,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Terminar encuesta,,,,,,,,,,,20,Hombre Cis,Sí,,False,Senior,1408000.0
Buenos Aires,Full-Time,Staff (planta permanente),3236000.0,2735297.0,,,Un sueldo,Performance de la compañía,No,0.0,No tuve,2,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",2,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,20,8,8,3,"Docker, Linux, VMWare, Windows Server","Bash/Shell, HTML, Javascript, PHP, Python, SQL",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),1,No,No,6,4,Llegó para quedarse,No,-,Terminar encuesta,,,,,,,,,,,,,,,,42,Hombre Cis,Sí,"MercadoLibre, Google, Uala, etc",False,Senior,3236000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3195000.0,2711850.0,,,Un sueldo,Performance grupal,Uno,6.0,Diciembre,3,"Abono de Internet, Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,UX/UI Designer,13,1,4,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,ajustes por ipc cada 3 meses aprox,No,9,4,Vibequé?,,,Responder sobre mis estudios,Universitario,Completo,Ciencias Sociales,UNQ - Universidad Nacional de Quilmes,Terminar encuesta,,,,,,,,,,,32,Mujer Cis,Sí,,False,Senior,3195000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),896000.0,1080000.0,,,Menos de un sueldo,Mix de las anteriores,Uno,8.0,Octubre,2,"Capacitaciones y/o cursos, Horarios flexibles, Licencia por nacimiento extendida, Viáticos",2,"No, pero escucho ofertas.",,Developer,2,1,2,0,"Amazon Web Services, Docker","Javascript, SQL, TypeScript","Next.js, Node.js, React.js","MySQL, Redis",Postman,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,8,5,Hype,,,Responder sobre mis estudios,Terciario,Completo,Tecnicatura en Programación,Universidad Siglo 21,Responder sobre entrevistas técnicas,Entre 2 y 4,"Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 6 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,,,,,23,Hombre Cis,No,,False,Junior,896000.0
Buenos Aires,Part-Time,Freelance,5000000.0,4500000.0,,,No,No recibo bono,Más de tres,35.0,Diciembre,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,SysAdmin / DevOps / SRE,42,33,33,0,"Arduino o similar, *BSD, Google Cloud Platform, Linux, Microcontroladores, VMWare, Windows Server",HTML,WordPress,"MariaDB, SQLite",Ninguna de las anteriores,1 (solamente yo),Híbrido (presencial y remoto),2,Por inflacion,No,10,0,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,59,Hombre Cis,Sí,,False,Senior,5000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4250000.0,,,,No,No recibo bono,Dos,13.0,Noviembre,3,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Functional Analyst,10,6,6,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Microsoft SQL Server,Postman,De 201 a 500 personas,Híbrido (presencial y remoto),1,,No sé,0,2,Llegó para quedarse,,,Terminar encuesta,,,,,,,,,,,,,,,,37,Mujer Cis,Sí,,False,Senior,4250000.0
Buenos Aires,Full-Time,Contractor,1280000.0,1210000.0,,,No,No recibo bono,Más de tres,11.0,Diciembre,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",,Developer,20,3,15,0,"Docker, Linux, Windows Server","Bash/Shell, Delphi, Javascript, PHP, SQL, TypeScript, VBA","Next.js, Node.js, React.js","MySQL, PostgreSQL",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,no hay politica definida,Sí,5,3,Vibequé?,si,nada,Terminar encuesta,,,,,,,,,,,,,,,,50,Hombre Cis,Sí,¿?,False,Senior,1280000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,4400000.0,4000000.0,,,No,No recibo bono,Uno,12.0,Noviembre,3,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Manager / Director,10,2,2,7,"Ninguna de las anteriores, Open project",Javascript,"Next.js, Node.js, React.js, Vue.js",PostgreSQL,"Postman, SoapUI",De 51 a 100 personas,100% remoto,0,,No,10,5,Llegó para quedarse,Antigravity,,Terminar encuesta,,,,,,,,,,,,,,,,33,Hombre Cis,Sí,,False,Senior,4400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2300000.0,,,No,No recibo bono,No,0.0,No tuve,1,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",,Manager / Director,16,2,2,7,"Amazon Web Services, Linux, Windows Server",Java,"Drupal, Hibernate",MySQL,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),4,,Sí,0,4,Llegó para quedarse,,,Responder sobre guardias,Universitario,Completo,Artes,,Responder sobre entrevistas técnicas,Hasta 2,"HR, Manager directo/a","Sincrónicos, prefiero el desafío en tiempo real",Menos de 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,34,Hombre Cis,Sí,,False,Senior,3000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1620492.8,1323097.0,,,Menos de un sueldo,Mix de las anteriores,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",,Sales / Pre-Sales,1,1,1,0,"Amazon Web Services, Azure, Google Cloud Platform, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),2,,No sé,10,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,22,Mujer Cis,No,,False,Junior,1620492.8
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,3350000.0,,,No,No recibo bono,Uno,6.0,Diciembre,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,Manager / Director,6,1,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),2,No,No,7,4,Llegó para quedarse,No,,Terminar encuesta,,,,,,,,,,,,,,,,36,Hombre Cis,No,,False,Senior,4000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000.0,1300000.0,,,Un sueldo,Aguinaldo,No,0.0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",,Developer,3,3,3,1,"Azure, Firebase, Google Cloud Platform, Botmaker - N8N","CSS, HTML, Javascript, Python","Node.js, React.js, WordPress",Google Cloud Storage,Postman,De 51 a 100 personas,Híbrido (presencial y remoto),1,No. Se ajusta solo por el convenio de sindicato de Comercio,Sí,8,4,Vibequé?,Visual Studio Code,,Terminar encuesta,,,,,,,,,,,,,,,,42,Mujer Cis,No,"Uala, no tengo mucha idea",False,Semi-Senior,1600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4600000.0,3700000.0,,,De uno a tres sueldos,Mix de las anteriores,Uno,5.0,Noviembre,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,15,4,7,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, VMWare, Windows Server","Bash/Shell, Javascript, Python","Django, Node.js, React.js","MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),2,si,Sí,7,5,Llegó para quedarse,Visual Estudio | Antigravity,Siempre la culpa es de la capa 8,Terminar encuesta,,,,,,,,,,,,,,,,35,Hombre Cis,Sí,,False,Senior,4600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4051040.0,3373444.0,,,No,No recibo bono,Uno,12.0,Diciembre,2,"Abono de Internet, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",,Consultant,12,8,4,0,SAP,ABAP,"SAP, SAP Hana",HANA,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,Sí,7,1,Vibequé?,,,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Sistemas de Información,UBA - Universidad de Buenos Aires,Responder sobre entrevistas técnicas,Hasta 2,"HR, Técnica - Coding","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres",Menos de 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,,,,,33,Hombre Cis,Sí,,False,Senior,4051040.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1660000.0,1660000.0,,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",,Functional Analyst,1,0,0,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),2,,No sé,8,1,Vibequé?,no,"me gusta mucho, me gustaría que me paguen más pero mi consultora es fantasma",Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,,Terminar encuesta,,,,,,,,,,,30,Prefiero no decir,Sí,,False,Junior,1660000.0
Buenos Aires,Full-Time,Staff (planta permanente),1900300.0,1200000.0,,,No,No recibo bono,No,0.0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",,UX/UI Designer,2,2,2,0,Figma,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),5,,No,8,3,Vibequé?,No,,Terminar encuesta,,,,,,,,,,,,,,,,31,Mujer Cis,No,,False,Junior,1900300.0
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1877750.0,1800000.0,,,No,No recibo bono,Uno,10.0,Octubre,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",,BI Analyst / Data Analyst,1,0,0,0,Azure,"Python, SQL",Ninguno de los anteriores,"Informix, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL",Postman,De 201 a 500 personas,Híbrido (presencial y remoto),2,,No,6,4,Vibequé?,No,,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Ciencias de la Computación,ITBA Instituto Tecnológico de Buenos Aires,Responder sobre entrevistas técnicas,Entre 2 y 4,"Técnica - Diseño & Arquitectura, Manager directo/a, HR suele no tener tanto uso. Tampoco priorizaría las capacidades técnicas de Codina, pero si la capacidad para pensar y resolver.","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,23,Hombre Cis,No,Mercado Libre. No se me ocurren muchos más,False,Junior,1877750.0
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3262182.0,2693096.0,,,No,No recibo bono,No,10.0,Marzo,1,"Abono de Internet, Comidas pagas / subvencionadas",1,"No, pero escucho ofertas.",,Technical Leader,20,10,10,0,"Linux, VMWare, Windows Server",".NET, C++, Erlang, Python, SQL, VBA",Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Postman,De 5001 a 10000 personas,Híbrido (presencial y remoto),3,,Sí,0,2,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,61,Hombre Cis,Sí,,False,Senior,3262182.0
Buenos Aires,Full-Time,Staff (planta permanente),1045628.0,851469.0,,,Menos de un sueldo,Mix de las anteriores,Más de tres,8.0,Diciembre,2,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Vehiculo",3,"No, pero escucho ofertas.",,SysAdmin / DevOps / SRE,4,13,4,0,"Arduino o similar, Azure, Docker, Kubernetes, Linux, SAP, VMWare, Windows Server","Arduino, Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL, TypeScript","Angular, Bootstrap, Hibernate, Laravel, SAP, SAP Hana, Spring, WordPress","MariaDB, Microsoft SQL Server, MySQL, Percona XtraDB Cluster, PostgreSQL, Redis, SQLite",Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),1,,No,7,3,Llegó para quedarse,,"Muy bien lugar para arrancar de cero y aprender a lo loco, en estos momentos está bastante planchado en cuanto a clientes, pero tuve la oportunidad de tocar casi todas las ramas de IT, estar en lugares que de otra manera no hubiera visitado y trato directo con clientes, permitiéndote coordinar uno mismo las fechas y horarios de atención. Libertad, aprendizaje y todas las herramientas disponibles ",Responder sobre mis estudios,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,Entre 2 y 4,"HR, Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, En plataformas tipo HackerRank o similares, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 4 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre entrevistas técnicas,33,Hombre Cis,Sí,,False,Semi-Senior,1045628.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1685000.0,1385000.0,,NO,No,No recibo bono,Uno,6.0,Noviembre,1,Abono de celular,1,"Sí, estoy buscando activamente.",Tengo dos trabajos full time,Networking,25,18,18,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, VMWare, Windows Server","Bash/Shell, SQL","Django, Drupal, Node.js, WordPress","MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,SI una miseria,No,1,5,Llegó para quedarse,si,gano una miseria,Terminar encuesta,,,,,,,,,,,,,,,,55,Hombre Cis,Sí,no se,False,Senior,1685000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4600000.0,360000.0,,,No,No recibo bono,Uno,23.0,Noviembre,2,"Abono de celular, Horarios flexibles",2,"No, pero escucho ofertas.",,Manager / Director,20,3,3,6,"Amazon Web Services, Azure","HTML, Javascript, Python, SQL","Flask, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc), SQLite","Postman, Visual Studio Coded UI",De 201 a 500 personas,Híbrido (presencial y remoto),3,No,No,5,3,Hype,No,,Terminar encuesta,,,,,,,,,,,,,,,,45,Hombre Cis,Sí,,False,Senior,4600000.0
Mendoza,Full-Time,Staff (planta permanente),2500000.0,2036000.0,,,No,No recibo bono,Dos,12.6,Octubre,3,"Comidas pagas / subvencionadas, Horarios flexibles",2,"No, pero escucho ofertas.",,Developer,7,7,7,0,"Linux, Jenkins",Genexus,Ninguno de los anteriores,PostgreSQL,Postman,De 11  a 50  personas,Híbrido (presencial y remoto),1,Aumento en julio y octubre,No,8,2,Vibequé?,No,La paga no es la mejor pero son flexibles,Terminar encuesta,,,,,,,,,,,,,,,,34,Hombre Cis,Sí,"PedidosYa, Mercadolibre",False,Senior,2500000.0
Córdoba,Full-Time,Staff (planta permanente),5500000.0,4200000.0,,,De uno a tres sueldos,Mix de las anteriores,Dos,15.0,Noviembre,4,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,HelpDesk,12,4,4,0,"Amazon Web Services, Linux, Mainframe","Bash/Shell, Java, Python, SQL",Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,Sí,7,4,Vibequé?,Vscode,,Terminar encuesta,,,,,,,,,,,,,,,,36,Hombre Cis,Sí,,False,Senior,5500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),10930800.0,7500590.0,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,15.0,Noviembre,3,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,Architect,30,9,3,0,"Amazon Web Services, Azure, Kubernetes, Linux, Windows Server",Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,,Sí,10,5,Hype,,,Terminar encuesta,,,,,,,,,,,,,,,,45,Hombre Cis,Sí,,False,Senior,10930800.0
Buenos Aires,Full-Time,Staff (planta permanente),3861374.86,3150311.0,,,Menos de un sueldo,Performance de la compañía,Más de tres,35.4,Diciembre,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,"No, pero escucho ofertas.",,Data Engineer,10,2,5,0,"Azure, Docker, Serverless, Databricks","Python, SQL",Spark,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,"Si, por inflación",No sé,8,4,Vibequé?,Databricks,,Terminar encuesta,,,,,,,,,,,,,,,,36,Hombre Cis,No,,False,Senior,3861374.86
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5542099.0,4322833.0,,,No,No recibo bono,Más de tres,15.0,Noviembre,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,Technical Leader,8,16,6,11,"Docker, Kubernetes, Linux, VMWare, Windows Server","Bash/Shell, SQL",Ninguno de los anteriores,"ElasticSearch, MariaDB, Microsoft SQL Server, MySQL, Percona Server, PostgreSQL, Redis",Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),3,Igual a la inflacion o unos pocos puntos menor,No,6,2,Llegó para quedarse,,,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,Terminar encuesta,,,,,,,,,,,37,Hombre Cis,Sí,,False,Senior,5542099.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1727426.0,1433764.0,,,Menos de un sueldo,Performance de la compañía,Dos,17.0,Noviembre,2,"Abono de Internet, Horarios flexibles",1,"Sí, estoy buscando activamente.",,Developer,7,7,7,0,"Linux, Windows Server","CSS, Groovy, HTML, Java, Javascript, SQL","Bootstrap, Hibernate, jQuery, Node.js, Spring",MySQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,2 ajustes por inflación. Sin aumentos.,No,0,1,Vibequé?,No,"Como los clientes dependen de los gobiernos provinciales, bajo un esquema de ajuste se complica mucho el tema económico. Mucha flexibilidad horaria y para vacaciones. Buena predisposición de mi jefe para acompañar en diversas situaciones, para otorgar ciertos beneficios al solicitarlos.",Responder sobre guardias,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,"Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,Valoro procesos con entrevistas técnicas complejas.,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,31,Hombre Cis,Sí,,False,Senior,1727426.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2995000.0,2445000.0,,,No,No recibo bono,Uno,2.0,Noviembre,1,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",,SysAdmin / DevOps / SRE,10,4,4,0,"Docker, Linux, VMWare, Windows Server","CSS, HTML, PHP, Python, SQL","Angular, Bootstrap, Django, Drupal, Flask, jQuery, Laravel, Node.js, Symfony, Vue.js, WordPress","ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis, SQLite, Sybase",Postman,De 501 a 1000 personas,100% presencial,0,,Sí,1,5,Hype,,,Responder sobre guardias,Universitario,Incompleto,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Manager directo/a",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 2 horas,Creo que seguir haciendo desafíos técnicos es algo anticuado.,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,49,Hombre Cis,Sí,,False,Senior,2995000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,2200000.0,,,De uno a tres sueldos,Performance de la compañía,Uno,7.0,Diciembre,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles",3,"No, pero escucho ofertas.",,BI Analyst / Data Analyst,6,11,1,0,Google Cloud Platform,"Python, SQL",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,no,No sé,9,4,Llegó para quedarse,vscode,,Terminar encuesta,,,,,,,,,,,,,,,,31,Hombre Cis,Sí,,False,Senior,2700000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3443900.0,2803964.0,,,De uno a tres sueldos,Permanencia,Uno,9.0,Agosto,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",,UX/UI Designer,6,5,2,1,Ninguna de las anteriores,"HTML, SQL",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),2,"si, tuvimos el 9 % de aumento como puse en la respuesta anterior, fue flat para todos. Hace años que no hay por performance",Sí,8,4,Vibequé?,,,Responder sobre mis estudios,Universitario,Completo,Diseño Gráfico,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,,,,,,,35,Mujer Cis,Sí,,False,Senior,3443900.0
Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,,,,No,No recibo bono,No,0.0,No tuve,1,Ninguna de las anteriores,1,"No, pero escucho ofertas.",,Product Owner,2,2,2,0,"Google Cloud Platform, Linux",Python,Ninguno de los anteriores,"Google Cloud Storage, MongoDB, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No,10,5,Vibequé?,,,Terminar encuesta,,,,,,,,,,,,,,,,34,Hombre Cis,Sí,,False,Junior,3000000.0
Córdoba,Full-Time,Staff (planta permanente),3693768.57,3011616.0,,,No,No recibo bono,Uno,13.0,Septiembre,2,"Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",,Developer,6,3,2,0,"Amazon Web Services, Docker","CSS, HTML, TypeScript","Angular, Node.js","MongoDB, MySQL, Redis",Jest,De 201 a 500 personas,100% remoto,0,,No,10,5,Vibequé?,"Copilot, Windsurf",,Terminar encuesta,,,,,,,,,,,,,,,,29,Hombre Cis,Sí,,False,Senior,3693768.57
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2250000.0,1867500.0,,,No,No recibo bono,No,0.0,No tuve,3,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, pero escucho ofertas.",,Developer,8,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,,No sé,6,5,Hype,"vscode + copilot, pero termino usando más chatgpt en el navegador",En mi laburo anterior me estaban pagando 800mil pesos mugrosos (agosto 2025!!!) lo unico que puedo decir es: he estado peor,Terminar encuesta,,,,,,,,,,,,,,,,30,Mujer Cis,Sí,,False,Senior,2250000.0
