work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,numero,salary_in_usd,salary_last_dollar_value,salary_pay_cripto,salary_%_cripto,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_boot_camp,profile_boot_camp_carrer,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,profile_age,profile_gender
Argentina,Chaco,Full-Time,Staff (planta permanente),166000.0,227000.0,TRUE,Cobro parte del salario en dólares,,,,No,No recibo bono,Dos,13,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,QA / Tester,5.0,2.0,2.0,0.0,Azure,SQL,Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, MySQL","Katalon, Postman, Test Complete, TFS",De 1001 a 2000 personas,100% remoto,0,8,,,,,,,,,,34,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),190000.0,156000.0,TRUE,Cobro parte del salario en dólares,220,,,No,No recibo bono,Uno,37,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Lactario en la oficina",2,QA / Tester,2.0,2.0,2.0,0.0,"Google Cloud Platform, Linux, Grafana","Java, Javascript, Groovy","Node.js, React.js, Spring",MongoDB,"Appium, Cucumber, JUnit, Postman, Selenium, WebDriver.IO,",Más de 10000 personas,Híbrido (presencial y remoto),4,10,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,--,,,,25,Varón Cis
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),285000.0,245000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,SysAdmin / DevOps / SRE,12.0,0.0,8.0,0.0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, VMWare, vcloud",Python,Ninguno de los anteriores,"MySQL, Redis",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,10,,,,,,,,,,35,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),212765.96,172601.0,TRUE,,,,,No,No recibo bono,Uno,46,Febrero,2,"Horarios flexibles, Viáticos",2,Administrador de Infraestructura,0.0,3.0,0.0,0.0,"Azure, Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),5,8,Secundario,Completo,,,,,"Sí, activa",0.0,Porcentaje de mi sueldo bruto,33,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),95000.0,79000.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,3,Horarios flexibles,2,Data Engineer,0.0,0.0,0.0,0.0,Amazon Web Services,"Python, SQL, DAX",Pandas,"MariaDB, Microsoft SQL Server, PostgreSQL",Postman,De 11  a 50  personas,100% remoto,0,5,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Alkemy,Data Analytics + Python,No,0.0,Porcentaje de mi sueldo bruto,27,Varón Cis
Argentina,Chaco,Full-Time,Freelance,300000.0,285000.0,TRUE,,,,,Menos de un sueldo,Performance grupal,Uno,90,Febrero,4,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,20.0,1.0,1.0,0.0,"Amazon Web Services, Linux","CSS, HTML, Javascript, SQL, TypeScript","Bootstrap, Node.js, React.js, i18next","MongoDB, PostgreSQL",Jest,De 11  a 50  personas,100% remoto,0,10,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Neto,51,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),280000.0,227000.0,TRUE,,,,,Menos de un sueldo,Performance de la compañía,Tres,38,Julio,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",3,SysAdmin / DevOps / SRE,2.0,1.0,1.0,0.0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless",Bash/Shell,Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora",Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,10,,,,,,,,,,39,Varón Cis
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),277000.0,230000.0,TRUE,,,,,No,No recibo bono,Dos,45,Julio,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",2,Developer,2.0,0.0,0.0,0.0,"Azure, Docker, Firebase, Google Cloud Platform",Javascript,Node.js,"PostgreSQL, SQLite",Postman,De 101 a 200 personas,100% remoto,0,7,Universitario,En curso,Ingeniería en Sistemas de Información,Uncaus,,,No,0.0,Porcentaje de mi sueldo bruto,26,Varón Cis
Argentina,Chaco,Part-Time,Staff (planta permanente),2600.0,0.0,TRUE,,,,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,-,0.0,0.0,0.0,0.0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, IBM Cloud / Watson, Kubernetes, Linux, OpenShift","Java, SQL",Bootstrap,MySQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,8,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Porcentaje de mi sueldo bruto,22,Varón Cis
Argentina,Chaco,Full-Time,Staff (planta permanente),10200.0,82000.0,TRUE,,,,,No,No recibo bono,Uno,10%,Julio,1,Ninguna de las anteriores,2,HelpDesk,12.0,5.0,5.0,0.0,"Azure, VMWare, Windows Server",".NET, C#, HTML, SQL",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,De 1001 a 2000 personas,100% presencial,0,4,,,,,,,,,,29,Varón Cis
